iter	Passed	Remaining
0	1	160
1	2	139
2	3	124
3	4	111
4	5	108
5	7	116
6	8	111
7	9	107
8	10	102
9	11	99
10	12	99
11	13	96
12	13	93
13	14	91
14	15	88
15	16	86
16	17	84
17	18	83
18	19	82
19	20	80
20	20	78
21	21	77
22	22	76
23	23	75
24	25	75
25	26	75
26	27	73
27	28	72
28	29	73
29	30	71
30	31	70
31	32	69
32	33	68
33	34	67
34	35	66
35	36	65
36	37	63
37	39	63
38	40	63
39	41	62
40	43	62
41	44	61
42	45	60
43	46	59
44	48	58
45	50	58
46	51	58
47	53	57
48	54	56
49	56	56
50	57	55
51	59	54
52	60	53
53	61	52
54	62	50
55	63	49
56	64	48
57	66	47
58	67	46
59	69	46
60	71	45
61	73	44
62	74	43
63	75	42
64	76	41
65	78	40
66	80	39
67	81	38
68	83	37
69	84	36
70	86	35
71	87	34
72	88	32
73	89	31
74	90	30
75	91	29
76	92	27
77	93	26
78	94	25
79	96	24
80	97	22
81	99	21
82	100	20
83	102	19
84	103	18
85	105	17
86	106	15
87	107	14
88	109	13
89	111	12
90	113	11
91	114	9
92	116	8
93	118	7
94	120	6
95	121	5
96	122	3
97	124	2
98	125	1
99	126	0
